Division	MatchDate	KickoffTime	HomeTeam	AwayTeam	FullTimeHomeGoals	FullTimeAwayGoals	FullTimeResult	HalfTimeHomeGoals	HalfTimeAwayGoals	HalfTimeResult	HomeShots	AwayShots	HomeShotsOnTarget	AwayShotsOnTarget	HomeFouls	AwayFouls	HomeCorners	AwayCorners	HomeYellowCards	AwayYellowCards	HomeRedCards	AwayRedCards	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	MaxH	MaxD	MaxA	AvgH	AvgD	AvgA	B365>2.5	B365<2.5	P>2.5	P<2.5	Max>2.5	Max<2.5	Avg>2.5	Avg<2.5	AHh	B365AHH	B365AHA	PAHH	PAHA	MaxAHH	MaxAHA	AvgAHH	AvgAHA	B365CH	B365CD	B365CA	BWCH	BWCD	BWCA	IWCH	IWCD	IWCA	PSCH	PSCD	PSCA	WHCH	WHCD	WHCA	VCCH	VCCD	VCCA	MaxCH	MaxCD	MaxCA	AvgCH	AvgCD	AvgCA	B365C>2.5	B365C<2.5	PC>2.5	PC<2.5	MaxC>2.5	MaxC<2.5	AvgC>2.5	AvgC<2.5	AHCh	B365CAHH	B365CAHA	PCAHH	PCAHA	MaxCAHH	MaxCAHA	AvgCAHH	AvgCAHA	League	BFH	BFD	BFA	1XBH	1XBD	1XBA	BFEH	BFED	BFEA	BFE>2.5	BFE<2.5	BFEAHH	BFEAHA	BFCH	BFCD	BFCA	1XBCH	1XBCD	1XBCA	BFECH	BFECD	BFECA	BFEC>2.5	BFEC<2.5	BFECAHH	BFECAHA	BFDH	BFDD	BFDA	BMGMH	BMGMD	BMGMA	BVH	BVD	BVA	CLH	CLD	CLA	LBH	LBD	LBA	BFDCH	BFDCD	BFDCA	BMGMCH	BMGMCD	BMGMCA	BVCH	BVCD	BVCA	CLCH	CLCD	CLCA	LBCH	LBCD	LBCA	HxG	AxG	PPH	PPD	PPA	SKBH	SKBD	SKBA	PPCH	PPCD	PPCA	SKBCH	SKBCD	SKBCA	kickoff_utc	fixture_id	home_team_id	away_team_id	edition_id	rules_version	home_history_n	home_rest_days	home_points_l5	home_goals_for_l5	home_goals_against_l5	home_goal_diff_l10	home_clean_sheet_l10	home_shots_for_ewm10	home_shots_against_ewm10	home_shot_quality_ewm10	away_history_n	away_rest_days	away_points_l5	away_goals_for_l5	away_goals_against_l5	away_goal_diff_l10	away_clean_sheet_l10	away_shots_for_ewm10	away_shots_against_ewm10	away_shot_quality_ewm10	Season	HomeTeamPointsLast5	AwayTeamPointsLast5	HomeRestDays	AwayRestDays	HomeGoalsAve	AwayGoalsAve	feature_timestamp
N1	2022-08-05	19:00	Heerenveen	Sparta Rotterdam	0	0	D	0	0	D	11	13	2	1	5	8	3	6	1	1	0	0	1.95	3.5	3.8	1.95	3.4	3.9	1.95	3.45	3.8	1.95	3.57	4.24	1.91	3.4	3.9	1.9	3.5	4.0	1.98	3.65	4.24	1.93	3.5	3.96	2.0	1.85	2.02	1.87	2.04	1.88	1.98	1.82	-0.5	1.95	1.95	1.95	1.95	1.97	1.96	1.93	1.89	1.8	3.6	4.33	1.88	3.5	4.1	1.95	3.5	3.9	1.86	3.64	4.58	1.88	3.4	4.2	1.85	3.6	4.1	1.95	3.72	4.58	1.86	3.53	4.16	2.0	1.85	2.01	1.88	2.04	1.9	1.96	1.83	-0.5	1.86	2.04	1.86	2.05	1.91	2.05	1.87	1.96	eredivisie																																																																							2022-08-05 17:00:00+00:00	eredivisie:20220805T1700Z:heerenveen:sparta-rotterdam:1	eredivisie:heerenveen	eredivisie:sparta-rotterdam	ned.1:2022-23	ned.1:2022-23-rules-v1	0										0										2022-23							2022-08-05 16:59:59.999999+00:00
N1	2022-08-06	15:30	For Sittard	Ajax	2	3	A	1	0	H	13	15	2	4	15	12	3	10	3	0	0	0	13.0	6.5	1.2	12.5	7.25	1.19	11.0	7.0	1.2	11.26	7.35	1.23	13.0	6.5	1.2	13.0	7.0	1.18	14.0	7.4	1.24	11.93	6.87	1.21	1.36	3.1	1.36	3.27	1.4	3.27	1.35	3.11	2.0	1.93	1.97	1.94	1.94	1.99	2.0	1.91	1.92	9.5	5.75	1.25	9.25	6.25	1.26	10.0	6.75	1.25	11.28	6.8	1.24	11.0	6.0	1.24	11.0	6.5	1.22	11.5	7.1	1.27	10.42	6.62	1.24	1.33	3.4	1.36	3.24	1.38	3.74	1.33	3.23	1.75	2.04	1.86	2.01	1.88	2.08	1.89	2.01	1.84	eredivisie																																																																							2022-08-06 13:30:00+00:00	eredivisie:20220806T1330Z:for-sittard:ajax:2	eredivisie:for-sittard	eredivisie:ajax	ned.1:2022-23	ned.1:2022-23-rules-v1	0										0										2022-23							2022-08-06 13:29:59.999999+00:00
N1	2022-08-06	17:45	Cambuur	Excelsior	0	2	A	0	2	A	27	7	8	4	9	5	10	2	1	2	0	0	1.85	4.0	3.8	1.87	3.7	3.9	1.9	3.7	3.7	1.94	4.01	3.77	1.91	3.7	3.6	1.9	3.75	3.7	1.94	4.03	3.9	1.9	3.82	3.71	1.57	2.35	1.63	2.39	1.63	2.45	1.58	2.34	-0.5	1.93	1.97	1.94	1.96	1.94	1.98	1.9	1.92	1.9	4.2	3.5	1.88	3.9	3.7	1.9	3.95	3.6	1.93	4.14	3.74	1.83	3.9	3.75	1.83	4.0	3.7	1.94	4.28	3.86	1.87	4.03	3.69	1.47	2.6	1.51	2.66	1.51	2.79	1.47	2.64	-0.5	1.94	1.96	1.93	1.98	1.96	2.03	1.87	1.96	eredivisie																																																																							2022-08-06 15:45:00+00:00	eredivisie:20220806T1545Z:cambuur:excelsior:3	eredivisie:cambuur	eredivisie:excelsior	ned.1:2022-23	ned.1:2022-23-rules-v1	0										0										2022-23							2022-08-06 15:44:59.999999+00:00
N1	2022-08-06	19:00	PSV Eindhoven	FC Emmen	4	1	H	3	0	H	11	6	6	2	6	12	3	6	0	1	0	0	1.22	7.5	12.0	1.2	6.75	11.5	1.2	7.0	12.0	1.23	7.13	12.09	1.2	6.0	15.0	1.18	6.5	15.0	1.23	7.5	15.0	1.21	6.73	12.84	1.47	2.6	1.5	2.67	1.53	2.8	1.47	2.64	-2.0	2.04	1.86	2.07	1.83	2.07	1.89	2.01	1.83	1.2	8.0	12.0	1.2	7.0	11.0	1.17	7.25	15.0	1.2	7.58	14.61	1.17	6.5	17.0	1.15	7.0	17.0	1.21	8.58	17.0	1.18	7.33	14.23	1.47	2.6	1.51	2.64	1.52	2.72	1.48	2.62	-2.0	2.0	1.9	1.97	1.92	2.01	2.01	1.9	1.94	eredivisie																																																																							2022-08-06 17:00:00+00:00	eredivisie:20220806T1700Z:psv-eindhoven:fc-emmen:4	eredivisie:psv-eindhoven	eredivisie:fc-emmen	ned.1:2022-23	ned.1:2022-23-rules-v1	0										0										2022-23							2022-08-06 16:59:59.999999+00:00
N1	2022-08-06	20:00	Waalwijk	Utrecht	2	2	D	2	0	H	11	11	3	3	8	10	3	7	1	0	0	0	3.5	3.8	1.95	3.7	3.5	1.98	3.6	3.55	2.0	3.74	3.86	1.99	3.75	3.5	1.95	3.75	3.6	1.93	3.85	3.86	2.0	3.67	3.65	1.96	1.83	2.02	1.81	2.07	1.85	2.09	1.78	2.03	0.5	1.93	1.97	1.92	1.99	1.95	1.99	1.88	1.95	3.6	3.8	1.9	3.9	3.7	1.9	3.7	3.65	1.95	4.09	3.91	1.89	3.75	3.6	1.91	3.8	3.6	1.9	4.09	3.91	1.98	3.8	3.72	1.91	1.75	2.05	1.81	2.08	1.84	2.11	1.78	2.03	0.5	1.98	1.92	2.02	1.89	2.02	1.95	1.93	1.9	eredivisie																																																																							2022-08-06 18:00:00+00:00	eredivisie:20220806T1800Z:waalwijk:utrecht:5	eredivisie:waalwijk	eredivisie:utrecht	ned.1:2022-23	ned.1:2022-23-rules-v1	0										0										2022-23							2022-08-06 17:59:59.999999+00:00
N1	2022-08-07	11:15	Groningen	Volendam	2	2	D	2	1	H	18	11	6	3	7	11	7	4	0	1	0	0	1.72	4.0	4.33	1.71	3.8	4.8	1.73	3.8	4.4	1.71	4.14	4.9	1.73	3.7	4.5	1.7	3.8	4.6	1.78	4.2	4.9	1.72	3.9	4.59	1.75	2.05	1.77	2.13	1.82	2.17	1.76	2.05	-0.75	1.95	1.95	1.92	1.99	1.98	1.99	1.92	1.92	1.55	4.5	5.0	1.6	4.2	5.25	1.57	4.2	5.25	1.58	4.47	5.68	1.53	4.2	5.5	1.53	4.33	5.5	1.65	4.66	5.75	1.58	4.3	5.31	1.57	2.35	1.63	2.39	1.69	2.42	1.61	2.29	-1.0	1.95	1.95	1.98	1.92	2.06	2.01	1.97	1.87	eredivisie																																																																							2022-08-07 09:15:00+00:00	eredivisie:20220807T0915Z:groningen:volendam:6	eredivisie:groningen	eredivisie:volendam	ned.1:2022-23	ned.1:2022-23-rules-v1	0										0										2022-23							2022-08-07 09:14:59.999999+00:00
N1	2022-08-07	13:30	Nijmegen	Twente	0	1	A	0	0	D	11	13	4	2	9	9	6	9	1	1	0	0	3.1	3.6	2.2	3.1	3.4	2.25	3.1	3.4	2.2	3.43	3.61	2.18	3.25	3.3	2.2	3.25	3.4	2.15	3.43	3.67	2.25	3.23	3.48	2.17	1.85	2.0	1.87	2.02	1.87	2.05	1.82	1.98	0.25	2.01	1.89	2.03	1.88	2.03	1.92	1.96	1.87	3.1	3.5	2.15	3.1	3.4	2.25	3.05	3.35	2.25	3.22	3.53	2.3	3.2	3.3	2.2	3.1	3.4	2.25	3.44	3.64	2.35	3.14	3.42	2.24	1.88	1.98	1.9	2.0	1.97	2.0	1.85	1.95	0.25	1.97	1.93	1.92	1.99	1.98	2.01	1.89	1.95	eredivisie																																																																							2022-08-07 11:30:00+00:00	eredivisie:20220807T1130Z:nijmegen:twente:7	eredivisie:nijmegen	eredivisie:twente	ned.1:2022-23	ned.1:2022-23-rules-v1	0										0										2022-23							2022-08-07 11:29:59.999999+00:00
N1	2022-08-07	13:30	Vitesse	Feyenoord	2	5	A	1	2	A	9	16	3	8	9	12	5	6	2	1	0	0	3.8	3.8	1.9	3.6	3.8	1.93	3.6	3.8	1.95	3.97	4.14	1.87	3.7	3.7	1.88	3.8	3.8	1.83	3.97	4.14	1.95	3.75	3.9	1.87	1.65	2.2	1.67	2.3	1.69	2.38	1.64	2.25	0.5	2.01	1.89	2.05	1.87	2.05	1.92	1.97	1.86	3.75	3.8	1.95	3.6	3.7	1.95	3.5	3.65	2.0	3.64	3.89	2.01	3.8	3.5	1.91	3.5	3.75	1.95	4.03	3.94	2.01	3.62	3.74	1.95	1.65	2.2	1.69	2.26	1.7	2.34	1.65	2.23	0.5	1.9	2.0	1.89	2.01	1.95	2.02	1.88	1.95	eredivisie																																																																							2022-08-07 11:30:00+00:00	eredivisie:20220807T1130Z:vitesse:feyenoord:8	eredivisie:vitesse	eredivisie:feyenoord	ned.1:2022-23	ned.1:2022-23-rules-v1	0										0										2022-23							2022-08-07 11:29:59.999999+00:00
N1	2022-08-07	15:45	AZ Alkmaar	Go Ahead Eagles	2	0	H	0	0	D	19	8	8	2	8	11	7	3	1	1	0	0	1.4	5.0	7.5	1.4	4.8	7.75	1.4	4.9	7.25	1.42	5.01	7.91	1.38	4.5	8.0	1.36	4.8	8.0	1.42	5.1	9.5	1.39	4.85	7.65	1.65	2.2	1.68	2.28	1.7	2.38	1.64	2.23	-1.25	1.92	1.98	1.94	1.96	1.94	2.0	1.89	1.95	1.36	5.0	8.5	1.4	4.6	8.0	1.4	4.6	7.75	1.39	5.04	8.93	1.36	4.5	8.5	1.36	4.6	8.5	1.43	5.1	9.21	1.38	4.72	8.24	1.72	2.07	1.8	2.09	1.82	2.13	1.78	2.02	-1.25	1.86	2.04	1.88	2.03	1.98	2.06	1.89	1.96	eredivisie																																																																							2022-08-07 13:45:00+00:00	eredivisie:20220807T1345Z:az-alkmaar:go-ahead-eagles:9	eredivisie:az-alkmaar	eredivisie:go-ahead-eagles	ned.1:2022-23	ned.1:2022-23-rules-v1	0										0										2022-23							2022-08-07 13:44:59.999999+00:00
N1	2022-08-12	19:00	Excelsior	Vitesse	3	1	H	2	1	H	11	22	6	6	10	18	1	8	0	0	0	1	3.75	3.75	1.9	3.5	3.8	1.95	3.5	3.7	1.95	3.63	4.11	1.96	3.5	3.7	1.95	3.5	3.8	1.93	3.75	4.11	2.0	3.5	3.88	1.96	1.57	2.35	1.61	2.43	1.63	2.47	1.59	2.35	0.5	1.93	1.97	1.94	1.96	1.95	2.0	1.89	1.95	3.8	4.0	1.8	3.9	4.0	1.8	3.7	3.95	1.83	3.96	4.39	1.82	3.8	3.8	1.83	3.9	4.0	1.8	4.05	4.39	1.93	3.77	4.07	1.84	1.47	2.6	1.51	2.67	1.57	2.75	1.5	2.52	0.5	2.02	1.77	2.1	1.81	2.13	1.93	2.0	1.84	eredivisie																																																																							2022-08-12 17:00:00+00:00	eredivisie:20220812T1700Z:excelsior:vitesse:10	eredivisie:excelsior	eredivisie:vitesse	ned.1:2022-23	ned.1:2022-23-rules-v1	1	6.052083333333333	3.0	2.0	0.0	2.0	1.0	7.0	27.0	0.2857142857142857	1	5.229166666666667	0.0	2.0	5.0	-3.0	0.0	9.0	16.0	0.2222222222222222	2022-23	3.0	0.0	6.052083333333333	5.229166666666667	2.0	2.0	2022-08-12 16:59:59.999999+00:00
