Feature,Importance,Std
away_goal_diff_l10,0.02134387351778656,0.012144103949199373
away_goals_against_l5,0.015019762845849804,0.012092536395872204
away_shots_for_ewm10,0.008695652173913038,0.009810018692482898
away_shot_quality_ewm10,0.007114624505928857,0.007664315980104874
away_clean_sheet_l10,0.0031620553359683725,0.006800257128096939
home_shots_for_ewm10,0.0031620553359683725,0.014229249011857707
home_goal_diff_l10,0.0007905138339920903,0.006800257128096931
PPA,0.0,0.0
SKBH,0.0,0.0
PPH,0.0,0.0
AxG,0.0,0.0
HxG,0.0,0.0
PPD,0.0,0.0
SKBD,0.0,0.0
SKBCA,0.0,0.0
SKBCD,0.0,0.0
HomeTeamPointsLast5,0.0,0.0
SKBA,0.0,0.0
PPCA,0.0,0.0
SKBCH,0.0,0.0
PPCH,0.0,0.0
PPCD,0.0,0.0
AwayRestDays,0.0,0.0
HomeRestDays,0.0,0.0
AwayTeamPointsLast5,0.0,0.0
home_shot_quality_ewm10,-1.1102230246251566e-17,0.01249912118643629
home_goals_for_l5,-0.0015810276679841806,0.006422164746747791
home_goals_against_l5,-0.0015810276679841917,0.005915663852607029
home_shots_against_ewm10,-0.002371541501976282,0.01946013221358289
home_points_l5,-0.0031620553359683725,0.0038727110557836724
away_points_l5,-0.003952569169960474,0.006123293827995925
away_rest_days,-0.0039525691699604844,0.0049996484745745105
away_goals_for_l5,-0.004743083003952575,0.011831327705214058
home_history_n,-0.005533596837944655,0.00403084546529074
away_history_n,-0.007114624505928835,0.003872711055783686
home_clean_sheet_l10,-0.007905138339920948,0.0055897769263758765
home_rest_days,-0.007905138339920958,0.0119887358799234
away_shots_against_ewm10,-0.011067193675889342,0.013085332298218852
