Feature,Mean_SHAP
home_shots_against_ewm10,0.47085646
home_history_n,0.28126565
away_goal_diff_l10,0.26572338
home_shots_for_ewm10,0.23165745
away_shots_against_ewm10,0.19676368
away_shot_quality_ewm10,0.19564636
away_shots_for_ewm10,0.19011629
away_rest_days,0.1809848
home_rest_days,0.1571939
away_history_n,0.15514965
home_shot_quality_ewm10,0.15500218
home_goal_diff_l10,0.14480497
away_goals_against_l5,0.13684978
home_goals_against_l5,0.1342191
away_goals_for_l5,0.13045095
home_points_l5,0.123853125
home_clean_sheet_l10,0.11956
away_clean_sheet_l10,0.11153435
home_goals_for_l5,0.10844032
away_points_l5,0.10789802
AxG,0.0
HxG,0.0
SKBH,0.0
PPA,0.0
PPD,0.0
PPH,0.0
PPCA,0.0
SKBCH,0.0
SKBCD,0.0
SKBCA,0.0
SKBD,0.0
SKBA,0.0
PPCH,0.0
PPCD,0.0
HomeTeamPointsLast5,0.0
AwayTeamPointsLast5,0.0
HomeRestDays,0.0
AwayRestDays,0.0
